food_key,food_description,food_category,allowed_no_restriction,allowed_vegetarian,allowed_vegan,allowed_pescatarian,allowed_halal_friendly,allowed_kosher_style,allowed_gluten_free,allowed_lactose_free,allowed_nut_free,allowed_low_sodium_aware,blocked_profiles
beef new zealand imported striploin separable lean only raw,"Beef, New Zealand, imported, striploin, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported subcutaneous fat raw,"Beef, New Zealand, imported, subcutaneous fat, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported sweetbread raw,"Beef, New Zealand, imported, sweetbread, raw",Beef Products,1,0,0,0,1,1,0,1,1,1,vegetarian|vegan|pescatarian|gluten free
beef new zealand imported tenderloin separable lean only raw,"Beef, New Zealand, imported, tenderloin, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef bottom sirloin tri-tip roast separable lean only trimmed to 0 fat all grades raw,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef bottom sirloin tri-tip roast separable lean only trimmed to 0 fat choice raw,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef bottom sirloin tri-tip roast separable lean only trimmed to 0 fat select raw,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half boneless separable lean only trimmed to 0 fat all grades raw,"Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half boneless separable lean only trimmed to 0 fat choice raw,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half boneless separable lean only trimmed to 0 fat select raw,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half separable lean only trimmed to 1 8 fat all grades raw,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half separable lean only trimmed to 1 8 fat choice raw,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket flat half separable lean only trimmed to 1 8 fat select raw,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef brisket whole separable lean only all grades raw,"Beef, brisket, whole, separable lean only, all grades, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef chuck eye country-style ribs boneless separable lean only trimmed to 0 fat all grades raw,"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
