nutrient,unit,life_stage,sex,source_agency,recommended_value,upper_limit_value,source_url,notes
Vitamin C,mg,Adults,All,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin C,mg,Adults,Female,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin C,mg,Adults,Male,DRI,,2000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin C,mg,Adults,Male,EFSA,110,1000,https://www.efsa.europa.eu/en/topics/topic/dietary-reference-values,
Vitamin C,mg,Adults,All,FAO,72.0,,https://www.fao.org/4/y2809e/y2809e0c.htm,Heuristic parse from FAO chapter text; verify before publication
Vitamin C,mg,Adults,All,FDA,90,,https://www.fda.gov/food/nutrition-facts-label/daily-value-new-nutrition-and-supplement-facts-labels,FDA Daily Value; not equivalent to all RDA frameworks
Vitamin D,g,Adults,All,DRI,,100.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin D,g,Adults,Female,DRI,,100.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin D,g,Adults,Male,DRI,,100.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin D,ug,Adults,Male,EFSA,15,100,https://www.efsa.europa.eu/en/topics/topic/dietary-reference-values,
Vitamin D,ug,Adults,All,FDA,20,,https://www.fda.gov/food/nutrition-facts-label/daily-value-new-nutrition-and-supplement-facts-labels,FDA Daily Value; not equivalent to all RDA frameworks
Vitamin E,mg,Adults,Female,DGE,8.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-e/,Auto-imported from DGE nutrient page
Vitamin E,mg,Adults,Male,DGE,8.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-e/,Auto-imported from DGE nutrient page
Vitamin E,mg,Adults,All,DRI,,1000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin E,mg,Adults,Female,DRI,,1000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin E,mg,Adults,Male,DRI,,1000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Vitamin K,ug,Adults,Female,DGE,60.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-k/,Auto-imported from DGE nutrient page
Vitamin K,ug,Adults,Male,DGE,70.0,,https://www.dge.de/wissenschaft/referenzwerte/vitamin-k/,Auto-imported from DGE nutrient page
Vitamin K,g,Adults,All,DRI,90.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Vitamin K,g,Adults,Female,DRI,90.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Vitamin K,g,Adults,Male,DRI,120.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Zinc,mg,Adults,All,DRI,,40.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Zinc,mg,Adults,Female,DRI,,40.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Zinc,mg,Adults,Male,DRI,,40.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Zinc,mg,Adults,Female,DRI,8.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Zinc,mg,Adults,Male,DRI,11.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
